Date,Open,High,Low,Close,Adj Close,Volume
20-05-2015,1260,1284.949951,1258.449951,1278.530029,1110.070068,1897814
21-05-2015,1278.5,1290,1274.069946,1277.75,1109.392822,1579578
22-05-2015,1275,1314.380005,1269.619995,1308.949951,1136.4823,2691632
25-05-2015,1310,1318.449951,1292.849976,1300.5,1129.145386,982978
26-05-2015,1302.5,1311.619995,1294.449951,1304.430054,1132.557739,1961740
27-05-2015,1304,1316.569946,1296,1307.619995,1135.327393,1620690
28-05-2015,1301.949951,1311.5,1291.119995,1304.75,1132.835449,2763608
29-05-2015,1308.5,1324.300049,1298.619995,1305.150024,1133.182861,4423532
01-06-2015,1304.719971,1323.550049,1304.180054,1308.880005,1136.421509,882264
02-06-2015,1308,1315,1295.25,1299.949951,1128.667969,3935820
03-06-2015,1302,1312.800049,1295.25,1305.449951,1133.443237,1804684
04-06-2015,1308.550049,1311.400024,1294.25,1302.819946,1131.15979,4131468
05-06-2015,1296,1304.5,1285,1287.930054,1139.21814,2308534
08-06-2015,1295,1295,1280.819946,1288.719971,1139.91687,1570320
09-06-2015,1292.5,1295,1275.5,1280.819946,1132.928833,2578914
10-06-2015,1283,1305,1281.900024,1300.380005,1150.230225,2763350
11-06-2015,1302.75,1306.5,1278.380005,1285.650024,1137.201172,1847336
12-06-2015,1285.949951,1294.469971,1238.400024,1252.900024,1108.232666,2571456
15-06-2015,1252.650024,1260.219971,1240.5,1252.400024,1107.790405,2525176
16-06-2015,1250,1259.650024,1247.219971,1256,1110.974854,1267396
17-06-2015,1260.5,1264.569946,1250.900024,1256.900024,1111.770996,1975720
18-06-2015,1257.5,1273.150024,1254,1265.030029,1118.962036,2165046
19-06-2015,1267.5,1277.5,1263.550049,1274.780029,1127.586548,1999610
22-06-2015,1273.5,1300,1273.5,1295.75,1146.134888,1102002
23-06-2015,1300,1304,1283.599976,1287.300049,1138.660767,898318
24-06-2015,1290,1293.949951,1279.430054,1285.150024,1136.758911,1170246
25-06-2015,1281,1286.5,1272.069946,1275,1127.780884,1930992
26-06-2015,1275.099976,1298.180054,1275.099976,1296.400024,1146.709961,1290102
29-06-2015,1286,1302,1271.699951,1296.449951,1146.754028,1372756
30-06-2015,1292.5,1294.380005,1270,1275.469971,1128.196533,1549952
01-07-2015,1281.949951,1304,1278.380005,1296.550049,1146.842529,1279708
02-07-2015,1300,1301.469971,1285.530029,1288.880005,1140.058472,1445880
03-07-2015,1286.530029,1305,1285,1301.949951,1151.619019,963470
06-07-2015,1290.150024,1322.5,1290.150024,1316.650024,1164.621948,1182338
07-07-2015,1316.380005,1323.449951,1301.5,1308.119995,1157.07666,1642836
08-07-2015,1298.969971,1310.849976,1290.25,1297.550049,1147.727295,2667850
09-07-2015,1297.5,1299.119995,1253.319946,1261.25,1115.618408,3934122
10-07-2015,1279.5,1279.5,1227.5,1237.180054,1094.328003,8263654
13-07-2015,1237.699951,1259.300049,1237.699951,1254.780029,1109.895508,2280308
14-07-2015,1255.5,1257.5,1245,1249.75,1105.446411,1703274
15-07-2015,1250.5,1274.969971,1250,1272.880005,1125.906006,2003660
16-07-2015,1271.849976,1279.430054,1263.300049,1270.099976,1123.446655,1456608
17-07-2015,1273.400024,1285.050049,1271.650024,1282.199951,1134.149292,1070526
20-07-2015,1282,1291.949951,1275.949951,1289.569946,1145.582764,853786
21-07-2015,1288,1300.180054,1277.550049,1280.699951,1137.702759,1274500
22-07-2015,1280.5,1284.5,1260.530029,1264.030029,1122.894165,1320628
23-07-2015,1258.75,1268.930054,1241.5,1244.300049,1105.367065,1496780
24-07-2015,1248.75,1258.25,1246.050049,1252.569946,1112.714111,1574972
27-07-2015,1244,1252.5,1240.569946,1248.530029,1109.124878,2003738
28-07-2015,1249.75,1259.5,1246.069946,1251.030029,1111.345459,1891188
29-07-2015,1255.5,1257.530029,1241.75,1253.380005,1113.433228,2413318
30-07-2015,1258.030029,1258.400024,1236.400024,1240.319946,1101.831421,2770574
31-07-2015,1244.949951,1259.5,1243.5,1255.380005,1115.210205,1963776
03-08-2015,1251.699951,1262.5,1250.449951,1254.800049,1114.694824,1179324
04-08-2015,1255.199951,1261.5,1243,1254.449951,1114.383667,2342692
05-08-2015,1260,1275,1255.5,1273.569946,1131.369141,988994
06-08-2015,1282.5,1291.5,1275.050049,1286.650024,1142.988525,2211366
07-08-2015,1286.5,1286.5,1273.5,1276.030029,1133.554565,1188506
10-08-2015,1286,1294.5,1278.300049,1286.050049,1142.455444,1431182
11-08-2015,1289,1305,1271.050049,1302.099976,1156.713501,2200306
12-08-2015,1301.550049,1345.699951,1301,1335.849976,1186.695068,3479784
13-08-2015,1335,1342,1278,1317.800049,1170.660522,1406426
14-08-2015,1319,1359.680054,1318.550049,1351.599976,1200.686768,2293964
17-08-2015,1345.050049,1348.400024,1327.5,1342.380005,1192.495972,773644
18-08-2015,1353.449951,1374.949951,1345,1370.449951,1217.431885,1916926
19-08-2015,1375,1376.430054,1360.949951,1366.800049,1214.189697,1690070
20-08-2015,1372.5,1372.5,1336,1343.430054,1193.428711,2349298
21-08-2015,1356,1364.949951,1327.550049,1338.069946,1188.666992,3536080
24-08-2015,1319.5,1322.5,1284.550049,1289.319946,1145.360352,4692344
25-08-2015,1293.949951,1311,1267.75,1283.569946,1140.252319,3925800
26-08-2015,1279.030029,1319.5,1255.969971,1288.380005,1144.525391,3216158
27-08-2015,1307.449951,1307.449951,1272.900024,1287.319946,1143.583618,5264798
28-08-2015,1304.5,1304.5,1278.849976,1285.430054,1141.904663,2744152
31-08-2015,1295,1295,1265.530029,1282.030029,1138.884277,3692044
01-09-2015,1278,1305.599976,1265,1268.699951,1127.042725,2987602
02-09-2015,1279.849976,1310.219971,1274,1295.900024,1151.205688,3765950
03-09-2015,1298.050049,1307.5,1288.119995,1302.800049,1157.335571,2265074
